id,name,lat,lng
141,President's Residence,24.969395,121.1957942
142,Lakeside Pavilion,24.9707267,121.1916367
143,Man Shi Ji Yakiniku Donburi,24.9653171,121.193539
144,Invincible Egg Crepe,24.9654311,121.1935356
145,College of Science Teaching Building,24.9714218,121.1922425
146,Institute of Environmental Engineering,24.96836,121.1875525
147,Boys' Dormitory 13,24.9665716,121.1964019
148,Boys' Dormitory 7,24.965587,121.1954535
149,Boys' Dormitory 3,24.9656173,121.1933568
150,Boys' Dormitory 9,24.9704778,121.195653
151,Boys' Dormitory 5,24.9660966,121.1951899
152,Boys' Dormitory 6,24.965888,121.1957504
153,Boys' Dormitory 11,24.9656697,121.1949258
154,Boys' Dormitory 12,24.9712763,121.1948919
155,Fuming Temple,24.9658373,121.1851324
156,Fuquan Tofu Pudding,24.9652901,121.1909283
157,Xian Chun Fang Restaurant,24.9654771,121.1909949
158,Science Building 3,24.9707236,121.1921368
159,Science Building 5,24.9713946,121.1926077
160,Science Building 2 (College of Science),24.9699801,121.192245
161,Science Building 4,24.9712894,121.1918149
162,Second Administration Center,24.9682852,121.193621
163,Management Building 2,24.9707253,121.1936117
164,Porridge King,24.9652355,121.1936332
165,Main Library,24.9682585,121.1942862
166,Delicious King Restaurant,24.9652227,121.1936522
167,Badminton Hall,24.9691147,121.1908354
168,Administration Building,24.9682777,121.1950533
169,Waste Disposal Site,24.9699991,121.1961998
170,Institute for Information Industry,24.9678294,121.1917148
171,College of EECS,24.9674672,121.1916643
172,Garage,24.9700914,121.195913
173,Dept. of Communication Engineering,24.9673851,121.1916966
174,Student Activity Center,24.9662962,121.195962
175,Galaxy Fried Rice,24.9652441,121.1936509
176,Dept. of Electrical Engineering,24.9674904,121.1914196
177,Zhuan Shi Yuan Restaurant,24.9652433,121.1935428
178,Gourmet Lu-Wei,24.9651912,121.1935423
179,Xiang Tian Yuan Restaurant,24.9654007,121.193671
180,Fragrant Rice Bento,24.9701721,121.1955007
181,Sports Equipment Room,24.9693496,121.1905357
182,High Voltage Substation,24.9673254,121.1966198
183,MWD Breakfast (A),24.967023,121.1907369
184,MWD Breakfast (B),24.9653458,121.1935377
